#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	t0_1d_metagenome	t0_2d_metagenome	t0_3d_metagenome	t1_1d_metagenome	t1_2d_metagenome	t1_3d_metagenome	t2_1d_metagenome	t2_2d_metagenome	t2_3d_metagenome	t3_1d_metagenome	t3_2d_metagenome	t3_3d_metagenome	t4_1d_metagenome	t4_2d_metagenome	t4_3d_metagenome	t5_1d_metagenome	t5_2d_metagenome	t5_3d_metagenome	t6_1d_metagenome	t6_2d_metagenome	t6_3d_metagenome
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Planctomyces|s__Planctomyces_sp_SH_PL14	0.0	0.0	0.0	0.00632	0.10199	0.00455	0.5259	0.28367	0.13449	0.15683	0.59107	0.10688	0.0	0.0218	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae|g__Aminobacter|s__Aminobacter_aminovorans	0.0	0.0	0.0	0.00621	0.07685	0.00979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Boseaceae|g__Bosea|s__Bosea_sp_WAO	0.0	0.0	0.0	0.00536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium_sp_ARZ01	0.0	0.0	0.0	0.00497	0.00891	0.00728	0.0	0.00099	0.00627	0.0	0.0	0.00864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Azospira|s__Azospira_restricta	0.0	0.0	0.0	0.00449	0.03723	0.01231	0.00402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Amoebophilaceae|g__Candidatus_Amoebophilus|s__Candidatus_Amoebophilus_asiaticus	0.0	0.0	0.0	0.00447	0.0	0.0	0.0	0.14439	0.00548	0.04316	0.00956	0.0	0.0	0.0	0.0	0.02472	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax|s__Acidovorax_ebreus	0.0	0.0	0.0	0.00397	0.0	0.00505	0.48062	0.28277	0.71144	0.18776	0.0	0.24099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_sp_RHBSTW_00175	0.0	0.0	0.0	0.00287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Lysobacter|s__Lysobacter_soli	0.0	0.0	0.0	0.00282	0.1256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07632	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiales_unclassified|g__Vineibacter|s__Vineibacter_terrae	0.0	0.0	0.0	0.00276	0.03673	0.00627	0.05561	0.14354	0.10365	0.08506	0.18958	0.05073	0.14595	0.53383	0.05742	0.03015	0.54833	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Lysobacter|s__Lysobacter_daejeonensis	0.0	0.0	0.0	0.00208	0.00287	0.0	0.0	0.01203	0.02498	0.0	0.0	0.00924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium_sp_R693	0.0	0.0	0.0	0.00132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Arcticibacter|s__Arcticibacter_tournemirensis	0.0	0.0	0.0	0.00044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_roggenkampii|t__SGB10139	0.0	0.0	0.0	27.89213	1.71662	13.39474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiales_unclassified|g__Hyphomicrobiales_unclassified|s__Hyphomicrobiales_bacterium|t__SGB32103	0.0	0.0	0.0	10.64682	8.86696	12.00269	1.069	1.16866	1.00899	0.47937	1.12479	0.5806	0.24251	1.01768	0.08922	0.20666	0.53941	0.05051	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Boseaceae|g__Bosea|s__Bosea_thiooxidans|t__SGB11415	0.0	0.0	0.0	7.59237	5.77599	6.31934	7.23277	3.45388	4.20871	2.84487	10.29559	3.61416	2.36763	7.50403	1.8308	1.97027	7.1171	1.98414	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora_celerecrescens|t__SGB4732	0.0	0.0	0.0	3.643	0.60117	7.34281	0.48761	5.73922	4.9186	5.42411	0.50863	4.44055	7.51537	1.04251	5.32586	8.9905	1.12032	5.04958	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_amylolyticum|t__SGB6243	0.0	0.0	0.0	3.52599	0.72261	2.98728	0.00412	0.34148	0.08829	0.49601	0.0	0.14592	0.30648	0.03282	0.62513	0.67132	0.0	0.27971	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_asburiae|t__SGB10141	0.0	0.0	0.0	2.84598	0.4908	2.25878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae|t__SGB10131	0.0	0.0	0.0	2.81222	0.41205	1.21772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiales_unclassified|g__Hyphomicrobiales_unclassified|s__Hyphomicrobiales_bacterium|t__SGB11186	0.0	0.0	0.0	2.04323	3.87663	2.7152	0.71922	0.03618	0.31583	0.0	0.60513	0.03447	0.0	0.27646	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_variicola|t__SGB10114	0.0	0.0	0.0	1.96867	0.19265	3.86607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_mori|t__SGB10132	0.0	0.0	0.0	1.92073	0.56721	3.89513	0.0	0.0	0.0	0.0	0.0	0.169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Promicromonosporaceae|g__Cellulosimicrobium|s__Cellulosimicrobium_cellulans|t__SGB16054	0.0	0.0	0.0	1.92004	1.93907	1.72054	1.10859	4.55391	1.92656	3.70086	1.80199	1.73678	0.20224	0.37462	0.23103	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiales_unclassified|g__Hyphomicrobiales_unclassified|s__Hyphomicrobiales_bacterium|t__SGB11188	0.0	0.0	0.0	1.39321	1.10316	1.70453	0.04971	0.06017	0.05048	0.00929	0.0	0.01374	0.0	0.06045	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_quasipneumoniae|t__SGB10112	0.0	0.0	0.0	1.3076	0.10143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Boseaceae|g__Bosea|s__Bosea_sp_AS_1|t__SGB31914	0.0	0.0	0.0	1.03107	1.49351	0.39603	0.66446	0.24889	0.0498	0.06947	1.08465	0.0	0.0	0.56571	0.0	0.0	0.18172	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_chartreusis|t__SGB16281	0.0	0.0	0.0	0.99906	4.73879	2.00265	4.07536	1.41202	1.11533	0.98875	3.90157	1.0561	0.98197	5.03596	1.00543	1.69841	7.174	1.36702	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei|t__SGB10130	0.0	0.0	0.0	0.71803	0.0	0.07536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_bugandensis|t__SGB10135	0.0	0.0	0.0	0.57013	0.0	0.68541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068	0.0	0.0	0.0	0.35582	0.0199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_chromiireducens|t__SGB6161	0.0	0.0	0.0	0.33908	0.0	0.19459	0.0	0.07762	0.04758	0.10259	0.0	0.05604	0.03119	0.0	0.02508	0.15484	0.0	0.17012	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_aquaticum|t__SGB11376	0.0	0.0	0.0	0.32964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_YIM_B02565|t__SGB94776	0.0	0.0	0.0	0.32694	0.0	0.16213	0.0	0.29014	0.11452	0.12426	0.0	0.61011	0.23899	0.0	0.13936	0.32167	0.0	1.02153	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae|t__SGB10115	0.0	0.0	0.0	0.32453	0.0	1.08651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylorubrum|s__Methylorubrum_zatmanii|t__SGB89786	0.0	0.0	0.0	0.32423	0.0	0.04315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_ASBs410|t__SGB4733	0.0	0.0	0.0	0.31743	0.0	1.46018	0.0	0.17576	0.29252	0.35901	0.0	0.29676	0.05641	0.0	0.62452	0.29104	0.0	0.19055	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_zeae|t__SGB90167	0.0	0.0	0.0	0.31553	0.0	0.58982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Pseudoxanthomonas|s__Pseudoxanthomonas_mexicana|t__SGB88901	0.0	0.0	0.0	0.31486	2.26663	0.19693	2.67906	1.00633	1.15025	0.5922	1.19608	0.39827	0.03981	0.13456	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_intestinale|t__SGB6157	0.0	0.0	0.0	0.28366	0.0	0.00907	0.02267	0.11169	0.25308	0.19064	0.0	0.19556	0.11649	0.0	0.06655	0.31176	0.0	0.0431	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Pseudoxanthomonas|s__Pseudoxanthomonas_beigongshangi|t__SGB88905	0.0	0.0	0.0	0.27967	3.7907	0.11136	7.79794	1.94384	1.91243	1.2821	5.03116	1.47501	0.25065	2.45593	0.60542	0.00529	1.09016	0.01312	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Spirosomaceae|g__Dyadobacter|s__Dyadobacter_jiangsuensis|t__SGB21645	0.0	0.0	0.0	0.26831	0.47634	0.43645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_kobei|t__SGB10133	0.0	0.0	0.0	0.26738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Promicromonosporaceae|g__Cellulosimicrobium|s__Cellulosimicrobium_cellulans|t__SGB16053	0.0	0.0	0.0	0.24604	0.04011	0.04753	0.0	0.47961	0.37901	0.26176	0.0	0.06112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Ensifer|s__Ensifer_adhaerens|t__SGB32101	0.0	0.0	0.0	0.23971	0.40191	0.26319	0.02606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_maltophilia|t__SGB12459	0.0	0.0	0.0	0.21867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_soli|t__SGB10126	0.0	0.0	0.0	0.19723	0.0	0.34102	0.0	0.0	0.05107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Phytobacter|s__Phytobacter_diazotrophicus|t__SGB10057	0.0	0.0	0.0	0.18943	0.0	0.07074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora_celerecrescens|t__SGB4734	0.0	0.0	0.0	0.17684	0.0	0.20728	0.0	0.0	0.01405	0.0	0.0	0.1824	0.0	0.0	0.0	0.0	0.0	0.14016	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Macellibacteroides|s__Macellibacteroides_fermentans|t__SGB1927	0.0	0.0	0.0	0.16232	0.0	0.42349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_freundii|t__SGB10084	0.0	0.0	0.0	0.15456	0.2844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_oxalaticus|t__SGB32712	0.0	0.0	0.0	0.14121	0.18414	0.17794	0.19876	0.27323	0.19992	0.17925	0.13357	0.13852	0.0	0.30172	0.09664	0.01017	0.34893	0.13257	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Hydrogenophaga|s__Hydrogenophaga_pseudoflava|t__SGB12741	0.0	0.0	0.0	0.11324	0.0	0.17585	0.0	0.0	0.16435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_hydrogenans|t__SGB34675	0.0	0.0	0.0	0.10917	0.2487	0.31347	0.21378	0.0	0.02226	0.0	0.29971	0.0	0.0	0.03559	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium_sp_BK060|t__SGB11140	0.0	0.0	0.0	0.10482	0.0718	0.19815	0.01942	0.2097	0.16564	0.18213	0.01953	0.10874	0.0264	0.07	0.03975	0.02402	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_MS4|t__SGB29357	0.0	0.0	0.0	0.10183	0.0	0.5481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Boseaceae|g__Bosea|s__Bosea_sp_F3_2|t__SGB89773	0.0	0.0	0.0	0.09696	0.0384	0.05264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Shinella|s__Shinella_sp_WSJ_2|t__SGB24541	0.0	0.0	0.0	0.09125	0.06032	0.12705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__GGB23756|s__GGB23756_SGB35463|t__SGB35463	0.0	0.0	0.0	0.0879	0.0	0.13835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Promicromonosporaceae|g__Cellulosimicrobium|s__Cellulosimicrobium_sp_BI34T|t__SGB87521	0.0	0.0	0.0	0.08772	0.02477	0.05163	0.0	0.018	0.03065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Chitinophaga|s__Chitinophaga_rhizosphaerae|t__SGB28397	0.0	0.0	0.0	0.07715	0.2054	0.06357	0.04898	0.01858	0.07203	0.0	0.0	0.01927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Hydrogenoanaerobacterium|s__Hydrogenoanaerobacterium_saccharovorans|t__SGB14878	0.0	0.0	0.0	0.07648	0.0	0.39349	0.0	0.0	0.08177	0.0	0.0	0.26608	0.0	0.0	0.02312	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Promicromonosporaceae|g__Cellulosimicrobium|s__Cellulosimicrobium_cellulans|t__SGB16055	0.0	0.0	0.0	0.06621	0.13771	0.18823	0.0	0.49275	0.27781	0.41965	0.01833	0.07442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_antibioticus|t__SGB16250	0.0	0.0	0.0	0.06112	0.03058	0.00951	0.0	0.168	0.11263	0.0	0.07888	0.02758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sartagoforme|t__SGB6182	0.0	0.0	0.0	0.05171	0.0	0.21562	0.0	0.19126	0.08238	0.2074	0.0	0.01006	0.2733	0.0	0.38587	0.27063	0.25374	0.14645	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae|g__Phyllobacteriaceae_unclassified|s__Phyllobacteriaceae_bacterium_SYSU_D60010|t__SGB31876	0.0	0.0	0.0	0.04954	0.17006	0.07065	0.24919	0.08439	0.0906	0.04232	0.21761	0.05234	0.01817	0.17555	0.03232	0.00808	0.14558	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_nymphaeiformis|t__SGB23669	0.0	0.0	0.0	0.04782	0.02001	0.05986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Flavihumibacter|s__Flavihumibacter_solisilvae|t__SGB3480	0.0	0.0	0.0	0.04643	0.063	0.03391	0.03842	0.01631	0.04946	0.00575	0.01334	0.02517	0.0	0.03282	0.0	0.00859	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Kaistiaceae|g__Kaistia|s__Kaistia_adipata|t__SGB31908	0.0	0.0	0.0	0.04317	0.0	0.02309	0.0	0.02543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales|f__Methanocellaceae|g__Methanocella|s__Methanocella_arvoryzae|t__SGB186	0.0	0.0	0.0	0.04146	0.0	0.0125	0.0	0.03269	0.01685	0.02314	0.0	0.00419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Ensifer|s__Ensifer_sp_ENS09|t__SGB32099	0.0	0.0	0.0	0.04057	0.07562	0.05557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bradyrhizobiaceae|g__Nitrobacter|s__Nitrobacter_vulgaris|t__SGB11273	0.0	0.0	0.0	0.03606	0.0913	0.06485	0.0	0.0	0.00656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Thermomonas|s__Thermomonas_sp_XSG|t__SGB88936	0.0	0.0	0.0	0.03209	0.09431	0.0	0.0	0.24768	0.16109	0.11515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae|g__Pseudaminobacter|s__Pseudaminobacter_arsenicus|t__SGB32231	0.0	0.0	0.0	0.03028	0.12914	0.01879	0.1168	0.2636	0.08784	0.3052	0.13093	0.11012	0.30686	0.1441	0.07892	0.51149	0.09167	0.1288	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Sinorhizobium|s__Sinorhizobium_sp_BG8|t__SGB94104	0.0	0.0	0.0	0.02945	0.00356	0.00336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Thermomonas|s__Thermomonas_fusca|t__SGB32986	0.0	0.0	0.0	0.02871	0.08824	0.0	0.0	0.34609	0.20291	0.15259	0.0	0.03214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_showdoensis|t__SGB34671	0.0	0.0	0.0	0.02866	0.03408	0.18706	0.02212	0.0	0.03798	0.0	0.02729	0.0	0.0	0.0	0.00968	0.0	0.0	0.0	0.0	0.0	0.0
