#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	t0_1d_metagenome	t0_2d_metagenome	t0_3d_metagenome	t1_1d_metagenome	t1_2d_metagenome	t1_3d_metagenome	t2_1d_metagenome	t2_2d_metagenome	t2_3d_metagenome	t3_1d_metagenome	t3_2d_metagenome	t3_3d_metagenome	t4_1d_metagenome	t4_2d_metagenome	t4_3d_metagenome	t5_1d_metagenome	t5_2d_metagenome	t5_3d_metagenome	t6_1d_metagenome	t6_2d_metagenome	t6_3d_metagenome
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Chroococcidiopsidales	0.44273	0.55133	0.50371	0.01067	0.01384	0.02246	0.00485	0.01691	0.0	0.01089	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05917	0.0	0.0
k__Bacteria|p__Proteobacteria|c__CFGB11088|o__OFGB11088	0.36482	0.45405	0.31166	0.0	0.01029	0.0051	0.0	0.0	0.00414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30756	0.02034	0.37624
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	0.17923	0.23451	0.12826	0.0	0.03264	0.0	0.01869	0.04315	0.04218	0.04205	0.04699	0.02944	0.12404	0.12525	0.0801	0.09593	0.14374	0.1204	2.80763	2.75205	3.16431
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Gaiellales	0.05085	0.06477	0.04338	0.00382	0.00268	0.0	0.0	0.00708	0.00651	0.0015	0.00315	0.00726	0.0	0.01178	0.0057	0.00225	0.00955	0.00434	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__CFGB35538|o__OFGB35538	0.05074	0.13278	0.0183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae	25.53754	26.68055	28.57268	1.24678	1.59539	1.53715	2.8147	2.48043	2.72604	2.10081	2.4919	2.80845	2.5833	2.94865	2.4999	2.63178	2.85074	2.04975	8.28542	7.8799	6.40884
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaerales_unclassified	23.91635	17.12243	19.88241	0.58787	1.33688	0.76188	3.28693	1.37334	1.16111	1.57115	3.91185	1.95866	4.75509	7.2568	3.67647	4.7263	9.23916	2.37878	50.58805	48.70443	50.69166
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	10.36096	12.06507	13.36325	0.64388	0.8547	0.84987	3.01783	6.12698	20.72655	6.49512	3.06824	25.46788	8.06908	3.62529	28.08589	11.85602	7.95136	38.99475	11.60891	9.76875	10.9812
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae	8.19615	7.00265	6.57247	0.06656	0.32721	0.13799	0.08342	0.12347	0.10282	0.01183	0.07821	0.04429	0.02661	0.25965	0.04272	0.09868	0.20528	0.1327	1.46385	2.05852	1.74232
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylocystaceae	6.66487	5.84556	8.74806	0.25368	0.8371	0.41182	0.54818	0.64561	0.18999	0.48261	0.4257	0.3622	0.26943	0.34858	0.18609	0.24201	0.53416	0.19178	1.75581	1.09656	1.76214
k__Bacteria|p__Proteobacteria|c__CFGB52626|o__OFGB52626|f__FGB52626	5.82131	3.18503	4.38012	0.21693	0.55891	0.31062	0.97762	0.60953	0.49474	0.60964	0.82101	0.65502	0.79397	1.57439	0.78692	0.50397	1.15919	0.587	7.24557	11.15471	10.11512
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiaceae	3.06099	2.83196	2.86472	0.16862	0.27112	0.24189	0.37356	0.35192	0.26398	0.27375	0.39822	0.34164	0.51599	0.68439	0.39222	0.60107	0.66143	0.38338	3.04614	2.87366	3.00729
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae	2.026	0.13506	0.6273	8.90237	14.29555	10.97657	5.29012	2.76523	2.29363	2.09984	4.42191	2.31007	1.49042	3.89644	1.08311	1.70128	3.86779	1.25274	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae	1.96166	1.41892	1.13089	0.85462	1.28742	0.64689	2.55131	3.94817	3.46568	4.81032	1.95016	3.2794	10.14389	5.78994	6.2696	11.14795	5.9667	7.22748	3.22633	2.32193	3.25321
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	1.83479	3.24157	2.30288	0.87692	0.39066	0.45551	0.59568	0.96198	0.99527	0.94659	0.63045	1.1314	0.93749	0.82633	0.7784	0.87236	1.23902	0.85757	0.99177	1.05192	0.96904
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	1.79237	4.4385	1.90207	0.19809	0.08139	0.29653	2.07566	7.20747	9.26819	4.95615	1.60741	9.99593	6.27198	1.89672	9.85648	6.48484	2.91573	9.79576	1.99606	2.33822	1.12974
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Pleurocapsales|f__Pleurocapsales_unclassified	1.69972	1.99642	1.51503	0.07341	0.10042	0.1265	0.11662	0.10657	0.12094	0.12801	0.1264	0.07431	0.05641	0.12158	0.04403	0.0438	0.0812	0.03097	0.99027	0.76177	0.67889
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified	1.5034	0.83316	0.87715	0.06312	0.31682	0.21977	1.39276	0.61516	0.48411	0.66004	1.47786	0.63137	0.94869	0.91759	0.26008	0.16362	0.35612	0.06304	3.44162	4.02243	3.62585
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	1.04703	1.56915	1.3327	2.87783	17.17068	1.37287	18.40997	30.86285	23.42969	39.63807	13.27109	23.7426	33.34167	14.4748	18.53906	30.27637	11.20995	16.24454	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__Acidiferrobacteraceae	0.82423	1.3259	0.76768	0.00346	0.11917	0.00366	0.06402	0.0729	0.05994	0.04671	0.05372	0.08201	0.00696	0.10983	0.62487	0.04256	0.09979	0.04035	1.49501	1.54523	1.38587
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Intrasporangiaceae	0.5165	0.80784	0.45655	0.0	0.01597	0.0	0.0	0.00855	0.01088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiales_unclassified	0.50657	0.3873	0.22485	17.89122	34.29681	24.79107	28.04728	10.22656	10.03752	8.12445	31.17894	7.35512	12.01671	29.20725	7.2671	9.40854	27.50444	6.5605	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	0.4817	1.39479	0.17147	0.14121	0.56771	0.17794	0.19876	0.28097	0.19992	0.17925	0.13357	0.13852	0.0	0.30172	0.09664	0.01017	0.34893	0.13257	0.0	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Chroococcidiopsidales|f__Chroococcidiopsidaceae	0.44273	0.55133	0.50371	0.01067	0.01384	0.02246	0.00485	0.01691	0.0	0.01089	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05917	0.0	0.0
k__Bacteria|p__Proteobacteria|c__CFGB11088|o__OFGB11088|f__FGB11088	0.36482	0.45405	0.31166	0.0	0.01029	0.0051	0.0	0.0	0.00414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30756	0.02034	0.37624
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified|f__Betaproteobacteria_unclassified	0.17923	0.23451	0.12826	0.0	0.03264	0.0	0.01869	0.04315	0.04218	0.04205	0.04699	0.02944	0.12404	0.12525	0.0801	0.09593	0.14374	0.1204	2.80763	2.75205	3.16431
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae	0.17746	0.24456	0.44472	0.00378	0.01205	0.02897	0.01318	0.03776	0.02027	0.0	0.00305	0.01975	0.0	0.03068	0.02653	0.05588	0.06077	0.04032	0.15812	0.09447	0.17541
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Pleurocapsales|f__Dermocarpellaceae	0.11056	0.24032	0.28703	0.0	0.0	0.0	0.0	0.00337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Gaiellales|f__Gaiellaceae	0.05085	0.06477	0.04338	0.00382	0.00268	0.0	0.0	0.00708	0.00651	0.0015	0.00315	0.00726	0.0	0.01178	0.0057	0.00225	0.00955	0.00434	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__CFGB35538|o__OFGB35538|f__FGB35538	0.05074	0.13278	0.0183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides	25.53754	26.68055	28.57268	1.24678	1.59539	1.53715	2.8147	2.48043	2.72604	2.10081	2.4919	2.80845	2.5833	2.94865	2.4999	2.63178	2.85074	2.04975	8.28542	7.8799	6.40884
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaerales_unclassified|g__Nitrososphaerales_unclassified	23.91635	17.12243	19.88241	0.58787	1.33688	0.76188	3.28693	1.37334	1.16111	1.57115	3.91185	1.95866	4.75509	7.2568	3.67647	4.7263	9.23916	2.37878	50.58805	48.70443	50.69166
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__GGB63470	7.83231	6.76656	6.46455	0.06196	0.31399	0.13668	0.05084	0.1138	0.09171	0.01183	0.03924	0.035	0.0	0.07871	0.00565	0.01789	0.0337	0.11525	1.46385	2.05852	1.54786
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylocystaceae|g__Methylocystis	6.66487	5.84556	8.74806	0.25368	0.8371	0.41182	0.54818	0.64561	0.18999	0.48261	0.4257	0.3622	0.26943	0.34858	0.18609	0.24201	0.53416	0.19178	1.75581	1.09656	1.76214
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Priestia	6.26471	6.15323	6.5715	0.35366	0.59042	0.51731	0.68856	0.52139	0.4161	0.57444	0.6139	0.51408	0.75628	0.88136	0.61921	1.10956	1.3106	0.83251	6.96441	6.97133	7.06894
k__Bacteria|p__Proteobacteria|c__CFGB52626|o__OFGB52626|f__FGB52626|g__GGB66002	5.82131	3.18503	4.38012	0.21693	0.55891	0.31062	0.97762	0.60953	0.49474	0.60964	0.82101	0.65502	0.79397	1.57439	0.78692	0.50397	1.15919	0.587	7.24557	11.15471	10.11512
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiaceae|g__Hyphomicrobium	3.06099	2.83196	2.86472	0.16862	0.27112	0.24189	0.37356	0.35192	0.26398	0.27375	0.39822	0.34164	0.51599	0.68439	0.39222	0.60107	0.66143	0.38338	3.04614	2.87366	3.00729
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus	2.22034	3.17866	2.59563	0.17019	0.10271	0.17859	0.15824	0.19048	0.54821	0.23336	0.2162	0.48067	0.2624	0.28604	0.55388	0.97279	0.35786	1.30649	2.74079	1.21596	1.68343
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Rhizobium	2.026	0.0	0.0	0.14572	0.10879	0.2551	0.01942	0.2107	0.17191	0.18213	0.01953	0.11738	0.0264	0.07	0.03975	0.02402	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosomonas	1.96166	1.41892	1.13089	0.85462	1.28742	0.64689	2.55131	3.94817	3.46568	4.81032	1.95016	3.2794	10.14389	5.78994	6.2696	11.14795	5.9667	7.22748	3.22633	2.32193	3.25321
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Microvirga	1.83479	3.24157	2.30288	0.22305	0.39066	0.41236	0.59568	0.96198	0.99527	0.94659	0.63045	1.1314	0.93749	0.82633	0.7784	0.87236	1.23902	0.85757	0.99177	1.05192	0.96904
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus	1.79237	4.4385	1.90207	0.16521	0.08139	0.29653	2.03228	7.20747	9.2012	4.95615	1.60553	9.99593	6.27198	1.89672	9.85648	6.47659	2.91573	9.79576	1.99606	2.33822	1.12974
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Pleurocapsales|f__Pleurocapsales_unclassified|g__Pleurocapsales_unclassified	1.69972	1.99642	1.51503	0.07341	0.10042	0.1265	0.11662	0.10657	0.12094	0.12801	0.1264	0.07431	0.05641	0.12158	0.04403	0.0438	0.0812	0.03097	0.99027	0.76177	0.67889
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Candidatus_Nitrosotenuis	1.5034	0.83316	0.87715	0.06312	0.31682	0.21977	1.39276	0.61516	0.48411	0.66004	1.47786	0.63137	0.94869	0.91759	0.26008	0.16362	0.35612	0.06304	3.44162	4.02243	3.62585
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Lysobacter	1.04703	1.56915	1.3327	2.00383	10.91993	1.06457	7.93296	27.31892	20.00302	37.49603	7.04384	21.83717	33.05121	11.8843	17.93364	30.27108	10.11979	16.23142	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__Acidiferrobacteraceae|g__Sulfuricaulis	0.82423	1.3259	0.76768	0.00346	0.11917	0.00366	0.06402	0.0729	0.05994	0.04671	0.05372	0.08201	0.00696	0.10983	0.62487	0.04256	0.09979	0.04035	1.49501	1.54523	1.38587
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Ectobacillus	0.71164	0.87711	0.9392	0.02536	0.04956	0.05203	0.0	0.06491	0.02383	0.0141	0.0367	0.04585	0.08233	0.22694	0.05261	0.09749	0.13357	0.09212	0.22495	0.02814	0.82243
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Metabacillus	0.64994	0.70542	0.53001	0.05514	0.04165	0.02844	0.0	0.00297	0.01157	0.0	0.00621	0.01554	0.0	0.12001	0.03703	0.00217	0.04844	0.03328	0.49395	0.17244	0.59463
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Intrasporangiaceae|g__Knoellia	0.5165	0.74624	0.45655	0.0	0.01597	0.0	0.0	0.00513	0.01088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiales_unclassified|g__Hyphomicrobiales_unclassified	0.50657	0.3873	0.22485	17.88845	34.26008	24.7848	27.99167	10.08302	9.93387	8.03939	30.98936	7.30439	11.87076	28.67342	7.20967	9.3784	26.95611	6.5605	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Agromyces	0.5039	0.86004	0.82789	0.25705	0.38047	0.30978	1.24085	0.95723	0.8396	1.14022	1.0021	0.84378	0.67067	1.39172	0.53936	1.0444	0.8706	0.29084	0.05248	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Chitinimonas	0.4817	1.39479	0.17147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Chroococcidiopsidales|f__Chroococcidiopsidaceae|g__Chroococcidiopsis	0.44273	0.55133	0.50371	0.01067	0.01384	0.02246	0.00485	0.01691	0.0	0.01089	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05917	0.0	0.0
k__Bacteria|p__Proteobacteria|c__CFGB11088|o__OFGB11088|f__FGB11088|g__GGB33037	0.36482	0.45405	0.31166	0.0	0.01029	0.0051	0.0	0.0	0.00414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30756	0.02034	0.37624
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira	0.36384	0.21021	0.10791	0.00461	0.01323	0.00132	0.03258	0.00967	0.01111	0.0	0.03897	0.00929	0.02661	0.18094	0.03707	0.08079	0.17159	0.01745	0.0	0.0	0.19447
